"","number","time","position","race_id","athlete_id","world_athletics_id","birth","nationality","sex","active_seasons","temperature","humidity","conditions","competition","stadium_id","round","event","name","final_position","color","Reference Bit","Critical Speed (m/s)","Work Capacity (m)","R2","velocity","w_r","rel_w_r"
"69",9,14.3,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",0,5.8730048729607,175.333276003894,0.993040851058842,6.99300699300699,15.9191904842387,0.0907938917646479
"70",10,13.8,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.2463768115942,-3.0333422689036,-0.0173004368482582
"71",11,13.9,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.19424460431655,-21.3985745347499,-0.122045141814806
"72",12,13.8,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.2463768115942,-40.3511072878922,-0.230139470427712
"73",13,13.5,2,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.40740740740741,-61.0655415029227,-0.348282669979693
"74",14,13.4,2,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.46268656716418,-82.3672762052493,-0.469775493178031
"75",15,13.2,2,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.57575757575758,-104.843611882168,-0.597967563669086
"76",1,14.7,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",0,NA,NA,NA,6.80272108843537,NA,NA
"77",2,14.3,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",0,NA,NA,NA,6.99300699300699,NA,NA
"78",3,13.7,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",1,NA,NA,NA,7.2992700729927,NA,NA
"79",4,13.9,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",1,NA,NA,NA,7.19424460431655,NA,NA
"80",5,14,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",1,NA,NA,NA,7.14285714285714,NA,NA
"81",6,14,11,1,7,-1,"Undefined","NOR","MALE","","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","NORDAS Narve Gilje ",7,"#7E7E7E",1,NA,NA,NA,7.14285714285714,NA,NA
